Address,Hood,Town,County,Zip,Lat,Lng,Walk Score,Bike Score,Transit Score
"Academy Dr, Austin, TX 78704, USA",Greater South River City,Austin,Travis County,78704,30.2519969,-97.7449865,78,83,56
"Adam L Chapa Sr St, Austin, TX 78702, USA",Holly,Austin,Travis County,78702,30.2576757,-97.7232322,96,91,46
"Adams Ave, Austin, TX 78756, USA",Brentwood,Austin,Travis County,78756,30.3314746,-97.7389988,86,79,50
"Airport Blvd, Austin, TX 78752, USA",UnknownHood,Austin,Travis County,78752,30.2959096,-97.7080269,85,80,48
"Alameda Dr, Austin, TX 78704, USA",Greater South River City,Austin,Travis County,78704,30.2448346,-97.74385,79,78,51
"Alcove Ct, Austin, TX 78757, USA",Brentwood,Austin,Travis County,78757,30.3363869,-97.7333988,78,86,50
"Alexander Ave, Austin, TX 78702, USA",East Austin,Austin,Travis County,78702,30.2806896,-97.7092616,74,86,52
"Alguno Rd, Austin, TX 78757, USA",Brentwood,Austin,Travis County,78757,30.3338328,-97.7335729,79,86,51
"Allen St, Austin, TX 78702, USA",Govalle,Austin,Travis County,78702,30.2555783,-97.7053563,71,96,50
"Allwood Dr, Austin, TX 78704, USA",Zilker,Austin,Travis County,78704,30.2495659,-97.7736796,88,88,46
"Amber St, Austin, TX 78702, USA",Central East Austin,Austin,Travis County,78702,30.2713034,-97.7275277,84,89,53
"Amesbury Ln, Austin, TX 78752, USA",Highland,Austin,Travis County,78752,30.3415463,-97.7137242,76,80,55
"Angelina St, Austin, TX 78702, USA",Central East Austin,Austin,Travis County,78702,30.2710569,-97.724761,85,94,48
"Anita Dr, Austin, TX 78704, USA",Zilker,Austin,Travis County,78704,30.2541272,-97.7705758,83,91,44
"Ann Arbor Ave, Austin, TX 78704, USA",Zilker,Austin,Travis County,78704,30.2507104,-97.7772481,78,82,45
"Anthony St, Austin, TX 78702, USA",Holly,Austin,Travis County,78702,30.2530825,-97.7234652,87,98,47
"Apache Pass, Austin, TX 78745, USA",South Austin,Austin,Travis County,78745,30.2286081,-97.7981937,71,76,52
"Ardenwood Rd, Austin, TX 78722, USA",Cherrywood,Austin,Travis County,78722,30.299071,-97.7147,74,81,49
"Arpdale St, Austin, TX 78704, USA",UnknownHood,Austin,Travis County,78704,30.249204,-97.7794674,79,84,46
"Ashberry Dr, Austin, TX 78723, USA",Windsor Park,Austin,Travis County,78723,30.3185437,-97.6921758,71,78,45
"Ashby Ave, Austin, TX 78704, USA",Zilker,Austin,Travis County,78704,30.256105,-97.7706568,74,90,43
"Ashdale Dr, Austin, TX 78757, USA",UnknownHood,Austin,Travis County,78757,30.3603267,-97.7337095,80,89,49
"Ashwood Rd, Austin, TX 78722, USA",Cherrywood,Austin,Travis County,78722,30.2939222,-97.7146491,76,80,50
"Atlanta St, Austin, TX 78703, USA",Westfield,Austin,Travis County,78703,30.2772715,-97.7704765,73,80,41
"Attayac St, Austin, TX 78702, USA",East Austin,Austin,Travis County,78702,30.2622368,-97.7303524,95,94,52
"Augusta Ave, Austin, TX 78703, USA",Clarksville,Austin,Travis County,78703,30.2771138,-97.7647323,73,80,43
"Avenue A, Austin, TX 78751, USA",UnknownHood,Austin,Travis County,78751,30.3093022,-97.7327442,84,98,59
"Avenue B, Austin, TX 78751, USA",UnknownHood,Austin,Travis County,78751,30.3076599,-97.7326118,85,99,59
"Avenue C, Austin, TX 78752, USA",UnknownHood,Austin,Travis County,78752,30.3123804,-97.7283754,72,92,58
"Avenue D, Austin, TX 78751, USA",UnknownHood,Austin,Travis County,78751,30.311962,-97.727538,72,92,58
"Avenue D, Austin, TX 78752, USA",UnknownHood,Austin,Travis County,78752,30.311962,-97.727538,72,92,58
"Avenue F, Austin, TX 78751, USA",UnknownHood,Austin,Travis County,78751,30.311094,-97.725572,73,91,56
"Avenue F, Austin, TX 78752, USA",UnknownHood,Austin,Travis County,78752,30.311094,-97.725572,73,91,56
"Avenue G, Austin, TX 78751, USA",UnknownHood,Austin,Travis County,78751,30.3117498,-97.723848,72,92,55
"Avenue G, Austin, TX 78752, USA",UnknownHood,Austin,Travis County,78752,30.3189434,-97.7191608,72,96,52
"Avenue H, Austin, TX 78751, USA",UnknownHood,Austin,Travis County,78751,30.3092906,-97.7243107,77,90,56
"Bailey Lane, Austin, TX 78705, USA",UnknownHood,Austin,Travis County,78705,30.306384,-97.7457098,85,91,54
"Bailey Lane, Austin, TX 78756, USA",UnknownHood,Austin,Travis County,78756,30.3074444,-97.7448565,87,91,55
"Banton Rd, Austin, TX 78722, USA",Cherrywood,Austin,Travis County,78722,30.287058,-97.7082591,80,91,50
"Banyon St, Austin, TX 78757, USA",Crestview,Austin,Travis County,78757,30.3433348,-97.7179333,72,88,56
"Barbara St, Austin, TX 78757, USA",Crestview,Austin,Travis County,78757,30.3517599,-97.7260346,83,83,51
"Barrow Ave, Austin, TX 78751, USA",Central Austin,Austin,Travis County,78751,30.3042216,-97.7251066,86,87,56
"Bartlett St, Austin, TX 78704, USA",UnknownHood,Austin,Travis County,78704,30.2419209,-97.7530561,93,86,50
"Barton Skyway, Austin, TX 78704, USA",UnknownHood,Austin,Travis County,78704,30.247328,-97.7850526,71,76,44
"Barton Village Cir, Austin, TX 78704, USA",Zilker,Austin,Travis County,78704,30.2458731,-97.7829447,77,81,45
"Bauerle Ave, Austin, TX 78704, USA",Zilker,Austin,Travis County,78704,30.2518853,-97.7699057,85,90,45
"Baylor St, Austin, TX 78703, USA",UnknownHood,Austin,Travis County,78703,30.2742796,-97.753773,97,73,62
"Beanna St, Austin, TX 78705, USA",UnknownHood,Austin,Travis County,78705,30.2903987,-97.7296223,78,91,69
"Becker Ave, Austin, TX 78751, USA",Central Austin,Austin,Travis County,78751,30.2977053,-97.7217218,82,90,51
"Beckett St, Austin, TX 78757, USA",Wooten,Austin,Travis County,78757,30.3562531,-97.7195463,74,73,50
"Beech Dr, Austin, TX 78758, USA",North Austin Civic Association,Austin,Travis County,78758,30.3584496,-97.714795,78,76,48
"Belford Dr, Austin, TX 78757, USA",Wooten,Austin,Travis County,78757,30.3554214,-97.7256381,84,77,50
"Bellevue Pl, Austin, TX 78705, USA",Central Austin,Austin,Travis County,78705,30.2914088,-97.7330453,79,89,71
"Bellvue Ave, Austin, TX 78756, USA",Rosedale,Austin,Travis County,78756,30.3130324,-97.7405835,87,86,56
"Ben Howell Dr, Austin, TX 78704, USA",Dawson,Austin,Travis County,78704,30.2357259,-97.7588269,83,72,49
"Benelva Dr, Austin, TX 78705, USA",North University,Austin,Travis County,78705,30.293974,-97.7335161,76,83,70
"Bennett Ave, Austin, TX 78751, USA",UnknownHood,Austin,Travis County,78751,30.3096427,-97.7143714,83,93,50
"Beverly Rd, Austin, TX 78703, USA",Old West Austin,Austin,Travis County,78703,30.3050797,-97.7553152,75,87,42
"Bissonet Ln, Austin, TX 78752, USA",Highland,Austin,Travis County,78752,30.3424631,-97.7133723,76,80,55
"Blanco St, Austin, TX 78703, USA",Clarksville,Austin,Travis County,78703,30.275187,-97.7555529,95,77,60
"Blue Crest Dr, Austin, TX 78704, USA",Zilker,Austin,Travis County,78704,30.2501217,-97.773908,85,85,45
"Bluebonnet Ln, Austin, TX 78704, USA",UnknownHood,Austin,Travis County,78704,30.2529328,-97.7732693,82,90,44
"Bluff St, Austin, TX 78704, USA",Zilker,Austin,Travis County,78704,30.2588069,-97.7597701,84,73,56
"Bon Air Dr, Austin, TX 78757, USA",Wooten,Austin,Travis County,78757,30.3547901,-97.7227409,73,75,51
"Bonniview St, Austin, TX 78704, USA",Greater South River City,Austin,Travis County,78704,30.2535664,-97.7452684,77,82,58
"Bouldin Ave, Austin, TX 78704, USA",Bouldin Creek,Austin,Travis County,78704,30.2526207,-97.7576366,80,79,55
"Bowie St, Austin, TX 78703, USA",Downtown Austin,Austin,Travis County,78703,30.269738,-97.75317,98,92,65
"Bowling Green Dr, Austin, TX 78757, USA",Wooten,Austin,Travis County,78757,30.3658508,-97.7271997,71,75,50
"Bowman Ave, Austin, TX 78703, USA",Tarrytown,Austin,Travis County,78703,30.2979169,-97.7674495,73,79,31
"Brackenridge St, Austin, TX 78704, USA",Greater South River City,Austin,Travis County,78704,30.2445301,-97.7490953,94,85,52
"Bradwood Rd, Austin, TX 78722, USA",Cherrywood,Austin,Travis County,78722,30.2974579,-97.7161083,81,84,48
"Branch St, Austin, TX 78702, USA",Central East Austin,Austin,Travis County,78702,30.2704391,-97.7312948,88,85,58
"Brandywine Ct, Austin, TX 78727, USA",Lamplight Village,Austin,Travis County,78727,30.4179583,-97.6965203,71,71,29
"Brandywine Ln, Austin, TX 78727, USA",Lamplight Village,Austin,Travis County,78727,30.417395,-97.6965404,73,73,30
"Brass St, Austin, TX 78702, USA",Govalle,Austin,Travis County,78702,30.264524,-97.7040749,73,89,47
"Brazos St, Austin, TX 78701, USA",UnknownHood,Austin,Travis County,78701,30.2721751,-97.7398053,91,90,68
"Breeze Terrace, Austin, TX 78722, USA",Cherrywood,Austin,Travis County,78722,30.2865364,-97.7182782,76,94,58
"Brewster St, Austin, TX 78704, USA",Dawson,Austin,Travis County,78704,30.2343361,-97.7597077,76,72,49
"Briar St, Austin, TX 78704, USA",Bouldin Creek,Austin,Travis County,78704,30.2493841,-97.7603724,83,79,52
"Briarcliff Blvd, Austin, TX 78723, USA",Windsor Park,Austin,Travis County,78723,30.3149465,-97.6942612,71,75,45
"Briardale Dr, Austin, TX 78758, USA",North Austin Civic Association,Austin,Travis County,78758,30.3660629,-97.7139505,79,80,44
"Briarwood Ln, Austin, TX 78757, USA",North Shoal Creek,Austin,Travis County,78757,30.3645425,-97.7340529,71,88,49
