Address,Hood,Town,County,Zip,Lat,Lng,Walk Score,Bike Score,Transit Score
"10th St, Pflugerville, TX 78660, USA",UnknownHood,Pflugerville,Travis County,78660,30.435629,-97.6315765,34,34,0
"11th St, Pflugerville, TX 78660, USA",Settlers Ridge,Pflugerville,Travis County,78660,30.4414919,-97.6308012,62,46,0
"12th St, Pflugerville, TX 78660, USA",UnknownHood,Pflugerville,Travis County,78660,30.4425818,-97.6309396,64,49,0
"1st St, Jonestown, TX 78645, USA",UnknownHood,Jonestown,Travis County,78645,30.4968183,-97.9227272,33,27,0
"1st St, Lago Vista, TX 78645, USA",UnknownHood,Lago Vista,Travis County,78645,30.4742242,-97.9739509,49,23,0
"2nd St, Jonestown, TX 78645, USA",UnknownHood,Jonestown,Travis County,78645,30.4965511,-97.9220563,33,29,0
"3rd St, Jonestown, TX 78645, USA",UnknownHood,Jonestown,Travis County,78645,30.4963687,-97.9213442,33,29,0
"400 Ave, Briarcliff, TX 78669, USA",UnknownHood,Briarcliff,Travis County,78669,30.4008548,-98.0497448,7,1,0
"4th St, Jonestown, TX 78645, USA",UnknownHood,Jonestown,Travis County,78645,30.496016,-97.920726,30,27,0
"5th St, Jonestown, TX 78645, USA",UnknownHood,Jonestown,Travis County,78645,30.4958399,-97.9200315,30,27,0
"6th St, Jonestown, TX 78645, USA",UnknownHood,Jonestown,Travis County,78645,30.4943279,-97.9199498,30,19,0
"S 6th St, Pflugerville, TX 78660, USA",UnknownHood,Pflugerville,Travis County,78660,30.438557,-97.6267848,53,43,0
"7th St, Jonestown, TX 78645, USA",UnknownHood,Jonestown,Travis County,78645,30.495176,-97.9197576,30,19,0
"7th St, Pflugerville, TX 78660, USA",UnknownHood,Pflugerville,Travis County,78660,30.4398661,-97.6268922,58,44,0
"8th St, Pflugerville, TX 78660, USA",Pflugerville West,Pflugerville,Travis County,78660,30.4401791,-97.6276255,58,44,0
"9th St, Pflugerville, TX 78660, USA",Pflugerville West,Pflugerville,Travis County,78660,30.4402233,-97.6285356,57,43,0
"Abaco Harbour Cove, Pflugerville, TX 78660, USA",Cambridge Heights,Pflugerville,Travis County,78660,30.469696,-97.643456,28,36,0
"Abbate Cir, Austin, TX 78721, USA",MLK,Austin,Travis County,78721,30.2726015,-97.6947985,68,87,47
"Abbey Cir, Austin, TX 78727, USA",Lamplight Village,Austin,Travis County,78727,30.4193847,-97.6928058,60,64,30
"Abbey Glen Ln, Austin, TX 78753, USA",Copperfield,Austin,Travis County,78753,30.3885777,-97.658322,25,32,27
"Abbey Ln, Cedar Park, TX 78613, USA",UnknownHood,Cedar Park,Williamson County,78613,30.522677,-97.8553365,30,29,0
"Abbey Rd, Round Rock, TX 78681, USA",Round Rock West,Round Rock,Williamson County,78681,30.4975633,-97.6920631,34,38,0
"Abbeyglen Castle Dr, Pflugerville, TX 78660, USA",UnknownHood,Pflugerville,Travis County,78660,30.478504,-97.6080026,9,28,0
"Abelia Dr, Austin, TX 78727, USA",Dorsett Oaks,Austin,Travis County,78727,30.420669,-97.7269066,29,53,9
"Aberdeen Cir, Austin, TX 78745, USA",South Austin,Austin,Travis County,78745,30.2156944,-97.7796736,41,44,46
"Aberdeen Dr, Austin, TX 78745, USA",South Austin,Austin,Travis County,78745,30.2156965,-97.7801481,45,51,44
"Aberdeen Dr, Round Rock, TX 78664, USA",Greenhill,Round Rock,Williamson County,78664,30.5280884,-97.684675,52,44,0
"Aberdeen Way, Austin, TX 78753, USA",UnknownHood,Austin,Travis County,78753,30.3553867,-97.6770728,43,41,31
"Abilene Cove, Austin, TX 78749, USA",UnknownHood,Austin,Travis County,78749,30.2141642,-97.8742788,26,42,18
"Abilene Trail, Austin, TX 78749, USA",UnknownHood,Austin,Travis County,78749,30.2200517,-97.8684448,26,44,31
"Abingdon Pl, Austin, TX 78723, USA",Windsor Park,Austin,Travis County,78723,30.3110532,-97.7040206,58,72,47
"Above Stratford Pl, Austin, TX 78746, USA",Stratford Place,Austin,Travis County,78746,30.2855448,-97.7881918,6,15,32
"Abrahamson Rd, Webberville, TX 78653, USA",UnknownHood,Webberville,Travis County,78653,30.3605973,-97.4693974,0,25,0
"Acacia Bud Dr, Austin, TX 78733, USA",Senna Hills,Austin,Travis County,78733,30.3139174,-97.8968026,1,4,0
"Academy Dr, Austin, TX 78704, USA",Greater South River City,Austin,Travis County,78704,30.2519969,-97.7449865,78,83,56
"Acadian Trail, Austin, TX 78727, USA",Milwood,Austin,Travis County,78727,30.4361258,-97.7446952,45,51,17
"Acanthus St, Pflugerville, TX 78660, USA",Heatherwilde,Pflugerville,Travis County,78660,30.4581637,-97.6337914,18,52,0
"Acapulco Ct, Lakeway, TX 78734, USA",UnknownHood,Lakeway,Travis County,78734,30.377148,-97.975404,3,23,0
"Acapulco Dr, Lakeway, TX 78734, USA",UnknownHood,Lakeway,Travis County,78734,30.378783,-97.972346,1,17,0
"Accomac Dr, Shady Hollow, TX 78748, USA",Shady Hollow,UnknownTown,Travis County,78748,30.1615808,-97.8575054,10,35,0
"Ace Pass, Austin, TX 78758, USA",North Star,Austin,Travis County,78758,30.415533,-97.7034196,58,63,27
"Acers Ln, Austins' Colony, TX 78725, USA",Austins' Colony,UnknownTown,Travis County,78725,30.2415249,-97.5800029,11,29,0
"Acorn Ct, Cedar Park, TX 78613, USA",North Buttercup Creek,Cedar Park,Williamson County,78613,30.5022543,-97.8328333,30,33,0
"Acorn Cove, Austin, TX 78744, USA",Southeast Austin,Austin,Travis County,78744,30.1938359,-97.7395632,53,43,41
"Acorn Grove Ct, Austin, TX 78744, USA",Southeast Austin,Austin,Travis County,78744,30.1929021,-97.7314529,34,24,35
"Acorn Oaks Dr, Austin, TX 78745, USA",South Austin,Austin,Travis County,78745,30.1949976,-97.7955559,37,54,40
"Acropolis Ct, Austin, TX 78759, USA",North Austin,Austin,Travis County,78759,30.4126486,-97.7301983,28,61,16
