Address,Street,Hood,Town,County,Zip,Lat,Lng
"10th St, Pflugerville, TX 78660, USA",10th Street,UnknownHood,Pflugerville,Travis County,78660,30.435629,-97.6315765
"11th St, Pflugerville, TX 78660, USA",11th Street,Settlers Ridge,Pflugerville,Travis County,78660,30.4414919,-97.6308012
"12th St, Pflugerville, TX 78660, USA",12th Street,UnknownHood,Pflugerville,Travis County,78660,30.4425818,-97.6309396
"1st St, Jonestown, TX 78645, USA",1st Street,UnknownHood,Jonestown,Travis County,78645,30.4968183,-97.9227272
"1st St, Lago Vista, TX 78645, USA",1st Street,UnknownHood,Lago Vista,Travis County,78645,30.4742242,-97.9739509
"2nd St, Jonestown, TX 78645, USA",2nd Street,UnknownHood,Jonestown,Travis County,78645,30.4965511,-97.9220563
"3rd St, Jonestown, TX 78645, USA",3rd Street,UnknownHood,Jonestown,Travis County,78645,30.4963687,-97.9213442
"400 Ave, Briarcliff, TX 78669, USA",400 Avenue,UnknownHood,Briarcliff,Travis County,78669,30.4008548,-98.0497448
"4th St, Jonestown, TX 78645, USA",4th Street,UnknownHood,Jonestown,Travis County,78645,30.496016,-97.920726
"5th St, Jonestown, TX 78645, USA",5th Street,UnknownHood,Jonestown,Travis County,78645,30.4958399,-97.9200315
"6th St, Jonestown, TX 78645, USA",6th Street,UnknownHood,Jonestown,Travis County,78645,30.4943279,-97.9199498
"S 6th St, Pflugerville, TX 78660, USA",South 6th Street,UnknownHood,Pflugerville,Travis County,78660,30.438557,-97.6267848
"7th St, Jonestown, TX 78645, USA",7th Street,UnknownHood,Jonestown,Travis County,78645,30.495176,-97.9197576
"7th St, Pflugerville, TX 78660, USA",7th Street,UnknownHood,Pflugerville,Travis County,78660,30.4398661,-97.6268922
"8th St, Pflugerville, TX 78660, USA",8th Street,Pflugerville West,Pflugerville,Travis County,78660,30.4401791,-97.6276255
"9th St, Pflugerville, TX 78660, USA",9th Street,Pflugerville West,Pflugerville,Travis County,78660,30.4402233,-97.6285356
"Abaco Harbour Cove, Pflugerville, TX 78660, USA",Abaco Harbour Cove,Cambridge Heights,Pflugerville,Travis County,78660,30.469696,-97.643456
"Abbate Cir, Austin, TX 78721, USA",Abbate Circle,MLK,Austin,Travis County,78721,30.2726015,-97.6947985
"Abbey Cir, Austin, TX 78727, USA",Abbey Circle,Lamplight Village,Austin,Travis County,78727,30.4193847,-97.6928058
"Abbey Glen Ln, Austin, TX 78753, USA",Abbey Glen Lane,Copperfield,Austin,Travis County,78753,30.3885777,-97.658322
"Abbey Ln, Cedar Park, TX 78613, USA",Abbey Lane,UnknownHood,Cedar Park,Williamson County,78613,30.522677,-97.8553365
"Abbey Rd, Round Rock, TX 78681, USA",Abbey Road,Round Rock West,Round Rock,Williamson County,78681,30.4975633,-97.6920631
"Abbeyglen Castle Dr, Pflugerville, TX 78660, USA",Abbeyglen Castle Drive,UnknownHood,Pflugerville,Travis County,78660,30.478504,-97.6080026
"Abelia Dr, Austin, TX 78727, USA",Abelia Drive,Dorsett Oaks,Austin,Travis County,78727,30.420669,-97.7269066
"Aberdeen Cir, Austin, TX 78745, USA",Aberdeen Circle,South Austin,Austin,Travis County,78745,30.2156944,-97.7796736
"Aberdeen Dr, Austin, TX 78745, USA",Aberdeen Drive,South Austin,Austin,Travis County,78745,30.2156965,-97.7801481
"Aberdeen Dr, Round Rock, TX 78664, USA",Aberdeen Drive,Greenhill,Round Rock,Williamson County,78664,30.5280884,-97.684675
"Aberdeen Way, Austin, TX 78753, USA",Aberdeen Way,UnknownHood,Austin,Travis County,78753,30.3553867,-97.6770728
"Abilene Cove, Austin, TX 78749, USA",Abilene Cove,UnknownHood,Austin,Travis County,78749,30.2141642,-97.8742788
"Abilene Trail, Austin, TX 78749, USA",Abilene Trail,UnknownHood,Austin,Travis County,78749,30.2200517,-97.8684448
"Abingdon Pl, Austin, TX 78723, USA",Abingdon Place,Windsor Park,Austin,Travis County,78723,30.3110532,-97.7040206
"Above Stratford Pl, Austin, TX 78746, USA",Above Stratford Place,Stratford Place,Austin,Travis County,78746,30.2855448,-97.7881918
"Abrahamson Rd, Webberville, TX 78653, USA",Abrahamson Road,UnknownHood,Webberville,Travis County,78653,30.3605973,-97.4693974
"Acacia Bud Dr, Austin, TX 78733, USA",Acacia Bud Drive,Senna Hills,Austin,Travis County,78733,30.3139174,-97.8968026
"Academy Dr, Austin, TX 78704, USA",Academy Drive,Greater South River City,Austin,Travis County,78704,30.2519969,-97.7449865
"Acadian Trail, Austin, TX 78727, USA",Acadian Trail,Milwood,Austin,Travis County,78727,30.4361258,-97.7446952
"Acanthus St, Pflugerville, TX 78660, USA",Acanthus Street,Heatherwilde,Pflugerville,Travis County,78660,30.4581637,-97.6337914
"Acapulco Ct, Lakeway, TX 78734, USA",Acapulco Court,UnknownHood,Lakeway,Travis County,78734,30.377148,-97.975404
"Acapulco Dr, Lakeway, TX 78734, USA",Acapulco Drive,UnknownHood,Lakeway,Travis County,78734,30.378783,-97.972346
"Accomac Dr, Shady Hollow, TX 78748, USA",Accomac Drive,Shady Hollow,UnknownTown,Travis County,78748,30.1615808,-97.8575054
"Ace Pass, Austin, TX 78758, USA",Ace Pass,North Star,Austin,Travis County,78758,30.415533,-97.7034196
"Acers Ln, Austins' Colony, TX 78725, USA",Acers Lane,Austins' Colony,UnknownTown,Travis County,78725,30.2415249,-97.5800029
"Acorn Ct, Cedar Park, TX 78613, USA",Acorn Court,North Buttercup Creek,Cedar Park,Williamson County,78613,30.5022543,-97.8328333
"Acorn Cove, Austin, TX 78744, USA",Acorn Cove,Southeast Austin,Austin,Travis County,78744,30.1938359,-97.7395632
"Acorn Grove Ct, Austin, TX 78744, USA",Acorn Grove Court,Southeast Austin,Austin,Travis County,78744,30.1929021,-97.7314529
"Acorn Oaks Dr, Austin, TX 78745, USA",Acorn Oaks Drive,South Austin,Austin,Travis County,78745,30.1949976,-97.7955559
"Acropolis Ct, Austin, TX 78759, USA",Acropolis Court,North Austin,Austin,Travis County,78759,30.4126486,-97.7301983
"Acton Dr, Austin, TX 78736, USA",Acton Drive,West Oak Hill,Austin,Travis County,78736,30.2321634,-97.8955019
"Ada Ct, Austin, TX 78744, USA",Ada Court,Yarrabee Bend South,Austin,Travis County,78744,30.1652798,-97.7448516
"Ada Ln, Round Rock, TX 78664, USA",Ada Lane,Jester Farms,Round Rock,Williamson County,78664,30.53336,-97.6655567
"Adak Cove, Jollyville, TX 78729, USA",Adak Cove,Rattan Creek,Jollyville,Williamson County,78729,30.4453293,-97.7571677
"Adalee Ave, Austin, TX 78723, USA",Adalee Avenue,UnknownHood,Austin,Travis County,78723,30.3088787,-97.6771268
"Adam L Chapa Sr St, Austin, TX 78702, USA",Adam L Chapa Sr Street,Holly,Austin,Travis County,78702,30.2576757,-97.7232322
"Adams Ave, Austin, TX 78756, USA",Adams Avenue,Brentwood,Austin,Travis County,78756,30.3314746,-97.7389988
"Adams Cove, Lago Vista, TX 78645, USA",Adams Cove,Highland Lake Estates,Lago Vista,Travis County,78645,30.4342338,-97.9931577
"Addison Ave, Austin, TX 78757, USA",Addison Avenue,UnknownHood,Austin,Travis County,78757,30.3450101,-97.7409977
"Adel Cove, Austin, TX 78749, USA",Adel Cove,Oak Hill,Austin,Travis County,78749,30.225674,-97.8379603
"Adelanto Ct, Lake Pointe, TX 78738, USA",Adelanto Court,Lake Pointe,UnknownTown,Travis County,78738,30.3100091,-97.9280835
"Adelen Ln, Round Rock, TX 78664, USA",Adelen Lane,Bradford Park,Round Rock,Williamson County,78664,30.4936425,-97.621567
"Adelfa Dr, Morningside Meadows, TX 78664, USA",Adelfa Drive,Morningside Meadows,UnknownTown,Williamson County,78664,30.4955964,-97.6115335
"Adelphi Cove, Austin, TX 78727, USA",Adelphi Cove,Milwood,Austin,Travis County,78727,30.4234914,-97.7209246
"Adelphi Ln, Austin, TX 78727, USA",Adelphi Lane,UnknownHood,Austin,Travis County,78727,30.4231126,-97.7178144
"Aden Ct, Austin, TX 78739, USA",Aden Court,UnknownHood,Austin,Travis County,78739,30.1862591,-97.8981304
"Aden Ln, Austin, TX 78739, USA",Aden Lane,UnknownHood,Austin,Travis County,78739,30.1858676,-97.898385
"Adina St, Austin, TX 78721, USA",Adina Street,MLK-183,Austin,Travis County,78721,30.2827137,-97.6797494
"Adirondack Cove, Austin, TX 78759, USA",Adirondack Cove,Adirondack,Austin,Travis County,78759,30.3837572,-97.7649486
"Adirondack Trail, Austin, TX 78759, USA",Adirondack Trail,UnknownHood,Austin,Travis County,78759,30.3813016,-97.7605838
"Adler Ave, Austin, TX 78759, USA",Adler Avenue,UnknownHood,Austin,Travis County,78759,30.4174145,-97.7610942
"Adobe Trail, Lago Vista, TX 78645, USA",Adobe Trail,UnknownHood,Lago Vista,Travis County,78645,30.4820828,-97.9709728
"Adobe Trail, Texas 78737, USA",Adobe Trail,UnknownHood,UnknownTown,Travis County,78737,30.2190717,-97.8980473
"Adrian Way, Texas 78645, USA",Adrian Way,UnknownHood,UnknownTown,Travis County,78645,30.4678853,-97.9565149
"Adriane Dr, Austin, TX 78721, USA",Adriane Drive,MLK,Austin,Travis County,78721,30.2829106,-97.6911189
"Adriatico Way, Bella Vista, TX 78613, USA",Adriatico Way,Bella Vista,UnknownTown,Travis County,78613,30.4604672,-97.8474683
"Adventurer, Lakeway, TX 78734, USA",Adventurer,UnknownHood,Lakeway,Travis County,78734,30.3747861,-97.9760982
"Aerie Cove, Austin, TX 78759, USA",Aerie Cove,The Highlands At Oak Forest,Austin,Travis County,78759,30.4165661,-97.7624561
"Affirmed Dr, Berdoll Farms, TX 78617, USA",Affirmed Drive,Berdoll Farms,UnknownTown,Travis County,78617,30.1736131,-97.6111811
"Afton Ln, Austin, TX 78744, USA",Afton Lane,Southeast Austin,Austin,Travis County,78744,30.2043977,-97.7342713
"Aftonshire Way, Austin, TX 78748, USA",Aftonshire Way,South Austin,Austin,Travis County,78748,30.1799141,-97.8367018
"Agarita Cv, Hudson Bend, TX 78734, USA",Agarita Cove,Silent Ridge,Hudson Bend,Travis County,78734,30.4002003,-97.9102144
"Agarita Dr, Texas 78737, USA",Agarita Drive,UnknownHood,UnknownTown,Hays County,78737,30.1333595,-97.9682825
"Agarita Dr, Texas 78645, USA",Agarita Drive,UnknownHood,UnknownTown,Travis County,78645,30.4652175,-97.9788054
"Agarita Rd, Hudson Bend, TX 78734, USA",Agarita Road,UnknownHood,Hudson Bend,Travis County,78734,30.3991093,-97.9109973
"Agate Cove, Austin, TX 78759, USA",Agate Cove,UnknownHood,Austin,Travis County,78759,30.39168,-97.7563052
"Agatha Cir, Austin, TX 78724, USA",Agatha Circle,Meadows At Trinity Crossing,Austin,Travis County,78724,30.2856464,-97.6467866
"Agave Cove, Austin, TX 78750, USA",Agave Cove,Jester Estates,Austin,Travis County,78750,30.3754749,-97.800068
"Aggie Ln, Austin, TX 78757, USA",Aggie Lane,Crestview,Austin,Travis County,78757,30.3479921,-97.7268114
"Agua Caliente Cove, Austin, TX 78744, USA",Agua Caliente Cove,Southeast Austin,Austin,Travis County,78744,30.1921047,-97.7403354
"Agua Frio Dr, Lago Ranchos, TX 78645, USA",Agua Frio Drive,Lago Ranchos,UnknownTown,Travis County,78645,30.4510526,-97.9726105
"Agua Vista, Yacht Harbor, TX 78734, USA",Agua Vista,Yacht Harbor,UnknownTown,Travis County,78734,30.3792341,-97.9540067
"Aguila Cir, Hudson Bend, TX 78734, USA",Aguila Circle,Vista Grande,Hudson Bend,Travis County,78734,30.4015508,-97.9275793
"Ainez Dr, Austin, TX 78744, USA",Ainez Drive,Southeast Austin,Austin,Travis County,78744,30.1878384,-97.7394395
"Ainsworth St, Austin, TX 78745, USA",Ainsworth Street,South Austin,Austin,Travis County,78745,30.2035701,-97.7766412
"Aire Libre Dr, Austin, TX 78726, USA",Aire Libre Drive,Canyon Creek,Austin,Travis County,78726,30.4328493,-97.8321268
"Airline Terrace, Pilot Knob Acres, TX 78719, USA",Airline Terrace,Pilot Knob Acres,UnknownTown,Travis County,78719,30.1618377,-97.6916668
"Airole Way, Austin, TX 78704, USA",Airole Way,Barton Hills,Austin,Travis County,78704,30.2537065,-97.7802429
"Airoso Cove, Austin, TX 78745, USA",Airoso Cove,South Austin,Austin,Travis County,78745,30.2068289,-97.7868594
"Airport Blvd, Austin, TX 78752, USA",Airport Boulevard,UnknownHood,Austin,Travis County,78752,30.2959096,-97.7080269
"Airport Commerce Dr, Austin, TX 78741, USA",Airport Commerce Drive,Montopolis,Austin,Travis County,78741,30.2212686,-97.6905357
"Ajuga Ct, Lakeway, TX 78734, USA",Ajuga Court,UnknownHood,Lakeway,Travis County,78734,30.3721759,-97.9720074
"Akron Cove, Austin, TX 78723, USA",Akron Cove,University Hills,Austin,Travis County,78723,30.3199062,-97.6771222
"Alabama Dr, Austin, TX 78745, USA",Alabama Drive,South Austin,Austin,Travis County,78745,30.1924239,-97.8212723
"Alameda Dr, Austin, TX 78704, USA",Alameda Drive,Greater South River City,Austin,Travis County,78704,30.2448346,-97.74385
"Alamo Cove, Lago Vista, TX 78645, USA",Alamo Cove,Highland Lake Estates,Lago Vista,Travis County,78645,30.4323529,-97.9990921
"Alamosa Dr, Austin, TX 78759, USA",Alamosa Drive,Balcones Woods,Austin,Travis County,78759,30.4077062,-97.7375654
"Alasan Cove, Austin, TX 78730, USA",Alasan Cove,Long Canyon,Austin,Travis County,78730,30.3778884,-97.8206665
"Alata Cove, Austin, TX 78759, USA",Alata Cove,Prominent Point,Austin,Travis County,78759,30.391072,-97.7694994
"Alazan Cir, Hudson Bend, TX 78734, USA",Alazan Circle,UnknownHood,Hudson Bend,Travis County,78734,30.3994889,-97.9301263
"Alazan Cove, Chandler Creek, TX 78664, USA",Alazan Cove,Chandler Creek,UnknownTown,Williamson County,78664,30.5331384,-97.6590105
"Albata Ave, Austin, TX 78757, USA",Albata Avenue,Allandale,Austin,Travis County,78757,30.348978,-97.7396024
"Albert Brown Dr, Garfield, TX 78617, USA",Albert Brown Drive,UnknownHood,Garfield,Travis County,78617,30.1874009,-97.5584681
"Albert Rd, Austin, TX 78745, USA",Albert Road,South Austin,Austin,Travis County,78745,30.1929242,-97.805264
"Albert Voelker Rd, Texas 78621, USA",Albert Voelker Road,UnknownHood,UnknownTown,Travis County,78621,30.3369593,-97.4430396
"Alberta Cove, Austin, TX 78739, USA",Alberta Cove,The Hielscher,Austin,Travis County,78739,30.1842681,-97.901528
"Alberta Dr, Austin, TX 78739, USA",Alberta Drive,The Hielscher,Austin,Travis County,78739,30.1844877,-97.90145
"Alberta Ridge Trail, Austin, TX 78726, USA",Alberta Ridge Trail,The Parke,Austin,Travis County,78726,30.425287,-97.8595686
"Albury Cove, Austin, TX 78758, USA",Albury Cove,Quail Hollow,Austin,Travis County,78758,30.3993685,-97.7023082
"Alcorn Cir, Austin, TX 78748, USA",Alcorn Circle,South Austin,Austin,Travis County,78748,30.1800671,-97.7945064
"Alcott Cove, Austin, TX 78748, USA",Alcott Cove,Tanglewood Forest,Austin,Travis County,78748,30.1755109,-97.8396363
"Alcott Ln, Austin, TX 78748, USA",Alcott Lane,Tanglewood Forest,Austin,Travis County,78748,30.1739475,-97.8375327
"Alcove Ct, Austin, TX 78757, USA",Alcove Court,Brentwood,Austin,Travis County,78757,30.3363869,-97.7333988
"Aldama Dr, Shady Hollow, TX 78739, USA",Aldama Drive,Shady Hollow,UnknownTown,Travis County,78739,30.1710402,-97.8683321
"Aldea Dr, Austin, TX 78745, USA",Aldea Drive,South Austin,Austin,Travis County,78745,30.200557,-97.8119827
"Alden Dr, Austin, TX 78758, USA",Alden Drive,North Austin Civic Association,Austin,Travis County,78758,30.3572088,-97.7078877
"Aldenburgh Ct, Overlook At Lewis Mountain, TX 78737, USA",Aldenburgh Court,Overlook At Lewis Mountain,UnknownTown,Travis County,78737,30.2014002,-97.9219444
"Alder Cove, Austin, TX 78750, USA",Alder Cove,Jester Estates,Austin,Travis County,78750,30.379497,-97.7937636
"Alderminster Ln, Brookfield Estates, TX 78660, USA",Alderminster Lane,Brookfield Estates,UnknownTown,Travis County,78660,30.4165209,-97.6357412
"Alderwood Dr, Austin, TX 78745, USA",Alderwood Drive,Cherry Creek,Austin,Travis County,78745,30.2064341,-97.8178234
"Aldford Cir, Austin, TX 78745, USA",Aldford Circle,South Austin,Austin,Travis County,78745,30.2112123,-97.8139422
"Aldford Dr, Austin, TX 78745, USA",Aldford Drive,South Austin,Austin,Travis County,78745,30.209866,-97.8105537
